Probeta 8;Probeta 8;;;;;
Deformación;Fuerza estándar;;area inicial;diametro inicial;;1000000
%;N;;2,82743E-05;0,006;;
0;-4,260035515;21123,42969;;;;
-1,7593E-06;-4,535326481;;MPa ingenieril;MPa real;;% real
-3,35866E-06;-4,932298183;;-0,150667936;-0,150667936;;0
-4,95802E-06;-5,039093018;;-0,160404362;-0,16040408;;-1,7593E-06
0,000304358;-3,752931833;;-0,174444364;-0,174443778;;-3,35866E-06
0,000720352;-2,592948437;;-0,178221458;-0,178220575;;-4,95803E-06
0,001293403;-1,249108315;;-0,132732812;-0,13277321;;0,000304312
0,002035027;0,134358481;;-0,091706791;-0,091772852;;0,000720093
0,00295242;1,33100152;;-0,044178169;-0,04423531;;0,001292567
0,004634148;2,617346048;;0,004751959;0,00476163;;0,002032959
0,00668101;3,791399717;;0,047074549;0,047213533;;0,00294807
0,010102203;4,996253014;;0,09256968;0,092998662;;0,004623444
0,013117638;6,037525654;;0,134093335;0,134989214;;0,006658791
0,017738672;7,256643772;;0,176706303;0,178491426;;0,010051517
0,021606566;8,541183472;;0,213533789;0,216334848;;0,013032347
0,025942273;9,687852859;;0,256651273;0,261203925;;0,017583178
0,03065431;11,11673546;;0,302082571;0,308609538;;0,021376453
0,034014887;12,23671246;;0,342637705;0,351526505;;0,025611481
0,037455753;13,28639698;;0,393174089;0,405226569;;0,030193853
0,041213609;14,57039738;;0,432785172;0,447506311;;0,033449173
0,045095261;15,79809761;;0,469910168;0,487511007;;0,036771324
0,049169951;16,94364357;;0,515322392;0,536560688;;0,040386965
0,05333197;18,10533905;;0,558743406;0,583940086;;0,04410804
0,057793546;19,40706444;;0,599258806;0,628724332;;0,047999329
0,062389151;20,64792252;;0,640345379;0,674496259;;0,051958444
0,067092228;21,95700455;;0,686384497;0,726053091;;0,056185178
0,072085115;23,3446331;;0,730270874;0,775831854;;0,060520288
0,077184674;24,72280121;;0,77657018;0,828672003;;0,064937405
0,082378605;26,06701088;;0,825647501;0,885164396;;0,069605458
0,087871283;27,57216072;;0,874390227;0,941879751;;0,074350855
0,09349512;29,04781532;;0,921931918;0,997879384;;0,079161031
0,099279849;30,57369995;;0,975165705;1,060854766;;0,084222835
0,105284969;32,18429184;;1,02735631;1,123409111;;0,089379098
0,111383333;33,82568741;;1,081323439;1,188677067;;0,094655283
0,117766856;35,5436821;;1,138286475;1,258130931;;0,100103192
0,124237073;37,32767487;;1,196338968;1,329591189;;0,105605485
0,130892812;39,17552185;;1,2571006;1,405145386;;0,111332816
0,137746392;41,200634;;1,320196438;1,484213779;;0,117104648
0,141205332;42,25381088;;1,385550656;1,566909277;;0,12300742
0,144766633;43,32915115;;1,457174347;1,657894855;;0,129049456
0,148371589;44,36577988;;1,494422859;1,705443335;;0,132085012
0,151989343;45,41970444;;1,532455241;1,754303627;;0,135200802
0,155623408;46,49817276;;1,569118483;1,801931085;;0,138344929
0,159354398;47,54943085;;1,606393439;1,850548122;;0,141490311
0,163146964;48,68147659;;1,644536453;1,900464821;;0,144639946
0,16693874;49,78276062;;1,681717102;1,949706118;;0,147863296
0,17070618;50,88302612;;1,72175503;2,002654137;;0,151129232
0,174590721;51,96234131;;1,760704985;2,054634857;;0,154383858
0,178548808;53,05708313;;1,799618917;2,106824988;;0,157607139
0,182516187;54,17132568;;1,837791883;2,158653293;;0,160919765
0,186492996;55,30511093;;1,876510455;2,211559159;;0,164283858
0,190564162;56,49962616;;1,915918724;2,265604904;;0,16764453
0,194687964;57,75883865;;1,956018174;2,320801864;;0,171001894
0,198808719;59,13678741;;1,998265508;2,379063301;;0,174427281
0,203014558;60,47265625;;2,04280104;2,440509815;;0,177885033
0,207277484;61,81970978;;2,091536008;2,507351603;;0,18132833
0,211539316;63,1931839;;2,138782703;2,572986729;;0,184830539
0,215793612;64,65159607;;2,186424976;2,639621643;;0,188367811
0,220154428;66,14222717;;2,235001686;2,707792414;;0,191891713
0,224516513;67,64504242;;2,286582465;2,780012354;;0,195397042
0,228826646;69,12277985;;2,339302756;2,854310616;;0,198977431
0,233209055;70,5586319;;2,392453973;2,929599396;;0,202546083
0,237601694;72,00679779;;2,444718243;3,004134919;;0,206059768
0,241950191;73,33053589;;2,495501121;3,077474579;;0,20961976
0,246321569;74,68831635;;2,546719512;3,151824383;;0,213175389
0,250705267;76,05807495;;2,59353717;3,221043984;;0,216682879
0,255073267;77,44161987;;2,641558831;3,292231747;;0,220196468
0,259379066;78,7430191;;2,690004131;3,364402334;;0,223707605
0,263754447;80,04070282;;2,738937023;3,437566638;;0,227193951
0,268142771;81,36628723;;2,784964605;3,507326124;;0,230618795
0,272483283;82,73200226;;2,830860778;3,577512896;;0,23408701
0,276867917;84,12101746;;2,877743736;3,649389917;;0,237553445
0,281243766;85,46411896;;2,926046025;3,723344651;;0,240970332
0,285591795;86,96440887;;2,975172388;3,798902171;;0,24441014
0,289959014;88,48600769;;3,022674886;3,872783356;;0,247831299
0,294374203;90,03668213;;3,075736788;3,954141977;;0,251219153
0,298720786;91,59770966;;3,129552337;4,036994248;;0,254610446
0,303028831;93,21604919;;3,184396227;4,121800328;;0,258027337
0,307404836;94,88232422;;3,239606282;4,207344018;;0,26137977
0,311803723;96,54095459;;3,296843334;4,295881915;;0,264691424
0,316144234;98,24903107;;3,355775758;4,387357454;;0,268044131
0,320526311;100,0153732;;3,414437808;4,479072226;;0,271403078
0,324915124;101,8268814;;3,474848655;4,573402022;;0,274706427
0,329270337;103,5719299;;3,53732023;4,671124435;;0,278030378
0,333658349;105,3625793;;3,601389226;4,771535052;;0,2813484
0,338057567;107,2017441;;3,663107692;4,869260395;;0,284630173
0,342407157;109,0717087;;3,72643896;4,96979643;;0,287925804
0,346718716;110,9290695;;3,791486106;5,073226676;;0,291218986
0,3511136;112,7722855;;3,857622575;5,178500155;;0,294464388
0,35549681;114,5906296;;3,923313277;5,283599418;;0,297671053
0,359821331;116,4399338;;3,988503706;5,388921601;;0,300929141
0,364207899;118,2242584;;4,052814473;5,493577088;;0,304168036
0,368599894;120,0214233;;4,11822023;5,600043716;;0,307353317
0,372945032;121,8871536;;4,181327805;5,704200419;;0,310573966
0,377317074;123,729126;;4,244889511;5,809555335;;0,313788242
0,38171067;125,554985;;4,310876222;5,918596095;;0,316958091
0,38607502;127,3195267;;4,376022667;6,027170738;;0,320137458
0,390388492;129,1044006;;4,440599222;6,135623328;;0,323322348
0,3947701;130,9252472;;4,503007116;6,241505679;;0,326476026
0,399151201;132,730957;;4,566134119;6,348700331;;0,329583199
0,403484704;134,5153809;;4,630533392;6,458529524;;0,332729599
0,407874434;136,3695984;;4,694397314;6,56817164;;0,335865768
0,412261001;138,2029724;;4,757508397;6,677090263;;0,338958218
0,41661145;139,9835815;;4,823087927;6,790302185;;0,342081073
0,420986655;141,7653351;;4,887930269;6,903033296;;0,345191967
0,425409029;143,5702972;;4,950906434;7,013510745;;0,348267717
0,429760259;145,4202881;;5,013923075;7,12471778;;0,351351458
0,43405901;147,2635345;;5,077760553;7,237885737;;0,35445881
0,438435034;149,0856476;;5,143190594;7,353529514;;0,357506779
0,442831051;151,0379028;;5,208382102;7,469127279;;0,360508892
0,44717537;153,0085144;;5,272826168;7,58461789;;0,363555741
0,451538119;154,9275665;;5,341873073;7,707420341;;0,366607191
0,455925818;156,9187164;;5,411569201;7,831489659;;0,369613636
0,460284233;158,9710541;;5,479441785;7,95361862;;0,372623766
0,464664397;161,0493774;;5,549864307;8,080190734;;0,375642
0,469059906;163,1261597;;5,622450903;8,210376405;;0,378631097
0,473411448;165,178299;;5,695956556;8,342664773;;0,381626135
0,477725428;167,2785492;;5,769407702;8,475605536;;0,384622676
0,482114377;169,3716278;;5,841987282;8,607650942;;0,387580425
0,486507192;171,448761;;5,916268439;8,742620309;;0,390504032
0,490839718;173,487915;;5,990295952;8,878303752;;0,393469701
0,495221795;175,5641632;;6,063759511;9,013822121;;0,396429201
0,499613946;177,6197357;;6,135879832;9,14761336;;0,399339531
0,503966309;179,5856476;;6,20931209;9,28429877;;0,402274554
0,508350924;181,4422455;;6,282013096;9,42059445;;0,405207706
0,512757327;183,3737335;;6,351543005;9,552506688;;0,408105824
0,517118944;185,3733215;;6,417206723;9,679399689;;0,411016951
0,521423942;187,2450256;;6,485519138;9,811016597;;0,41393403
0,525797741;189,1349182;;6,556240098;9,946596051;;0,416813104
0,530180443;191,0037231;;6,622438089;10,07553586;;0,4196467
0,534519529;192,9012756;;6,689279366;10,20648735;;0,422517382
0,538904652;194,8007355;;6,755374819;10,33694243;;0,425385665
0,543284503;196,6343994;;6,82248701;10,46923956;;0,428217322
0,54762726;198,5998688;;6,88966666;10,60254007;;0,431070898
0,551989814;200,693222;;6,954519255;10,73280179;;0,43391294
0,556401996;202,7100677;;7,024033514;10,87058574;;0,436722958
0,560763261;204,6732941;;7,098070741;11,01613349;;0,439537858
0,565072125;206,718399;;7,169402066;11,15847168;;0,442376745
0,569448306;208,7866516;;7,238836993;11,29811083;;0,445174971
0,573836631;210,8723297;;7,311167786;11,4425049;;0,447931909
0,578180324;212,9262848;;7,384317257;11,58930421;;0,45072416
0,582561464;214,936615;;7,45808303;11,73780427;;0,453516352
0,586957442;216,9384918;;7,530726831;11,88484491;;0,45627249
0,591313631;218,8448181;;7,601827717;12,0303596;;0,459044714
0,595699222;220,7555084;;7,672629627;12,17613669;;0,461818625
0,600095551;222,5964966;;7,740052127;12,31685046;;0,464559858
0,604448695;224,4812469;;7,807628973;12,45862748;;0,467312024
0,608767438;226,336853;;7,87274061;12,59713723;;0,470063347
0,613160253;228,0955353;;7,939400018;12,73836;;0,472780205
0,6175337;229,8224792;;8,005028658;12,87822944;;0,475468319
0,621858222;231,6018372;;8,067229319;13,01373369;;0,478195145
0,626244009;233,3795319;;8,128307468;13,14781126;;0,480902582
0,630639986;235,239151;;8,191239381;13,28502894;;0,483572543
0,634981923;237,1342163;;8,254112469;13,42320095;;0,486273067
0,639356191;238,918045;;8,319883042;13,56673397;;0,488972567
0,643753301;240,7379456;;8,386907267;13,71244177;;0,491631748
0,648106444;242,5480652;;8,449997303;13,85255539;;0,494303598
0,652422805;244,4099274;;8,514363117;13,99551248;;0,496982225
